core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,r2,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,avac,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,tskin,MO_optimal_550,MO_optimal_830,FDM_depth_to_550_era055_new_fit,FDM_depth_to_830_era055_new_fit,Fit_R2_era055_new_fit,Fit_model_era055_new_fit
ngt06C93.2_B17,75.25,-37.625,2820.0,1993,15.91,71.83,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,0.98,35013,75.1999,-37.6954,352,200,16.6,69.61,0.991,Power law,0.0,3.4239267279190244e-06,11.05,55.59,0.99,Logarithmic,15.94640827178955,66.90901947021484,243.7433319091797,0.694531741043369,0.7739106223026592,47.76,,0.992,Logarithmic
ngt14C93.2_B18,76.617,-36.403,2508.0,1993,12.47,69.87,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,0.96,39956,76.5978,-36.4248,380,206,15.48,66.42,0.99,Power law,0.0,2.9614286631840514e-06,10.55,54.48,0.99,Logarithmic,15.583155632019045,64.60247039794922,244.2163543701172,0.8460304731355253,0.7797337913267496,45.72,,0.992,Logarithmic
ngt19C.0_B19,78.0,-36.23,2234.0,1994,13.73,68.99,SUMUP 2024,NGT: Wilhelms (1996),greenland,0.98,45245,78.0475,-36.2995,409,206,14.57,65.16,0.989,Power law,0.0,2.894432782341028e-06,10.14,53.72,0.99,Logarithmic,15.28648281097412,62.19009780883789,244.5123291015625,0.7385287691187181,0.778663574431077,43.09,,0.99,Logarithmic
ngt27C94.2_B21,80.0,-41.137,2185.0,1994,14.69,68.17,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,0.97,52817,79.98,-41.202,448,188,15.01,66.28,0.99,Power law,0.0,3.0140840863168705e-06,10.17,53.19,0.99,Logarithmic,14.95882797241211,64.96324920654297,244.57908630371094,0.6923076923076923,0.7802552442423353,43.92,,0.992,Logarithmic
Humboldt-M,78.527,-56.83,1995.0,1995,14.01,71.97,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,0.98,49426,78.5357,-56.8203,431,125,13.96,66.05,0.989,Power law,0.0,4.576205810735701e-06,9.3,49.7,0.986,Logarithmic,12.711256980895996,62.3650016784668,246.7611541748047,0.6638115631691649,0.6905655134083647,38.49,109.04,0.988,Logarithmic
NASA-U_Henderson,73.842,-49.498,2369.0,1995,13.15,85.6,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,0.98,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,9.56212534219958e-06,7.92,44.17,0.988,Logarithmic,10.908801078796388,67.38827514648438,249.50543212890625,0.6022813688212928,0.5160046728971963,33.54,100.93,0.99,Logarithmic
ngt37C95.2_B26,77.253,-49.217,2598.0,1995,14.27,79.23,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,0.97,42814,77.1955,-49.2569,397,149,16.43,72.75,0.994,Power law,0.0,5.397110726335086e-06,10.44,53.29,0.989,Logarithmic,14.799724578857422,70.307373046875,244.8016357421875,0.7316047652417659,0.6725987630947873,45.1,,0.991,Logarithmic
ngt42C95.2_B29,76.004,-43.492,2874.0,1995,16.06,76.05,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,0.98,38176,76.0277,-43.5003,370,172,16.73,70.68,0.992,Power law,0.0,3.767188218262163e-06,10.97,54.91,0.99,Logarithmic,15.571576118469238,68.9649429321289,243.9197540283203,0.6830635118306352,0.7220249835634451,47.16,,0.992,Logarithmic
GITS-Core1,77.0,-61.095,,1996,13.8,,PKM standardized cores,,Greenland,1.0,44929,76.9707,-61.0661,408,97,13.68,72.0,0.994,Power law,0.0,1.0487838153494522e-05,8.12,46.03,0.982,Logarithmic,10.90398120880127,67.38690948486328,249.4051055908203,0.5884057971014491,,34.64,101.21,0.987,Logarithmic
GITS_core_2_1996,77.143,-61.095,1887.0,1996,13.19,86.02,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,0.99,45551,77.1283,-61.1173,411,98,13.53,69.14,0.992,Power law,0.0,8.410831469518598e-06,8.46,46.43,0.983,Logarithmic,11.233909606933594,64.42125701904297,248.91444396972656,0.6413949962092496,0.539758195768426,35.42,102.61,0.987,Logarithmic
