core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,precip,ff10m,tskin,snowfall
Dye3-station1-1983,65.183,-43.833,2479.0,1983,12.01,,0.97,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,6.47,38.9,0.982,Logarithmic,9.782299041748047,71.36145782470703,1.613141648704186e-05,7.4234299659729,253.05270385742188,1.608147613296751e-05
,65.1,-44.87,2625.0,1984,9.15,70.22,0.7,0.82,1,1,SUMUP 2024,Mayewski et al. (2016d),greenland,5419,65.1112,-44.832,154,139,11.0,67.94,0.993,Logarithmic,0.0,6.86,40.07,0.98,Logarithmic,11.117039680480957,65.37804412841797,1.1561250175873283e-05,7.679074287414551,252.42041015625,1.153585071733687e-05
Site 13,72.886,-38.843,3209.0,1987,14.36,,0.89,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,27447,72.8955,-38.86,306,193,16.73,74.08,0.993,Power law,0.0,10.62,53.85,0.989,Logarithmic,15.659915924072266,73.6672592163086,5.564600996876834e-06,6.307287216186523,244.4466094970703,5.562672868109075e-06
Site 15,72.981,-36.296,3229.0,1987,14.74,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,27779,72.9965,-36.3032,308,208,17.01,72.69,0.993,Power law,0.0,11.03,55.03,0.99,Logarithmic,16.075620651245117,71.46155548095703,4.6475129238388035e-06,6.210969924926758,243.93032836914062,4.6461273086606525e-06
Site 31,72.349,-39.786,3151.0,1987,14.71,,0.91,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25604,72.3366,-39.8075,295,187,16.77,77.61,0.994,Power law,0.0,10.28,52.64,0.989,Logarithmic,15.086888313293457,78.33450317382812,7.706216820224654e-06,6.209879398345947,245.05178833007812,7.703873052378185e-06
Site 51,71.927,-38.165,3150.0,1987,14.54,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,24378,71.9489,-38.1455,287,197,16.96,76.97,0.994,Power law,0.0,10.52,53.37,0.989,Logarithmic,15.174708366394043,77.55669403076172,7.04305693943752e-06,5.984606742858887,244.70616149902344,7.041088338155532e-06
Site 571,72.212,-34.332,3149.0,1987,13.81,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25325,72.2254,-34.3867,293,220,17.3,76.65,0.993,Power law,0.0,10.87,53.86,0.988,Logarithmic,15.553254127502441,77.0060806274414,6.787221536797006e-06,6.174757480621338,244.86805725097656,6.7858040893042926e-06
Site 73,71.602,-37.864,3218.0,1987,14.86,,0.87,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,23323,71.5997,-37.8168,280,199,16.78,76.37,0.993,Power law,0.0,10.43,52.96,0.989,Logarithmic,15.086236000061035,76.72234344482422,6.990719157329295e-06,6.028667449951172,244.9655303955078,6.9890224949631374e-06
Site A,70.75,-35.958,3145.0,1987,15.13,83.16,1.0,0.98,0,0,SUMUP 2024, Alley (1987) as in Spencer et al. (2001),greenland,20727,70.7437,-35.9841,263,211,16.49,76.03,0.993,Power law,0.0,10.21,51.69,0.988,Logarithmic,15.055316925048828,76.36279296875,7.670504601264838e-06,6.15608549118042,245.8785400390625,7.668728358112276e-06
Summit,72.294,-36.078,3263.0,1987,14.8,,0.91,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland,25315,72.2445,-36.0242,293,210,17.34,75.99,0.993,Power law,0.0,10.96,54.33,0.988,Logarithmic,15.869124412536621,76.46176147460938,6.185057372931624e-06,6.088615417480469,244.56478881835938,6.18340891378466e-06
,71.927,-39.835,3112.0,1987,14.54,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,24518,71.9868,-39.7642,288,187,16.71,78.12,0.994,Power law,0.0,10.19,52.23,0.989,Logarithmic,14.987675666809082,78.83811950683594,8.179233191185631e-06,6.179948806762695,245.3104248046875,8.17701675259741e-06
,71.602,-38.141,3168.0,1987,14.86,,0.87,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,23321,71.5989,-38.1336,280,197,16.7,76.77,0.994,Power law,0.0,10.32,52.68,0.989,Logarithmic,15.026673316955566,77.5480728149414,7.272834409377538e-06,6.0116496086120605,245.02447509765625,7.271145477716345e-06
,72.294,-37.921,3215.0,1987,7.71,,0.91,,0,1,SUMUP 2024,"Bolzan and Strobel (2001a,b)",greenland,25303,72.2494,-37.992,293,198,17.16,76.92,0.994,Power law,0.0,10.71,54.01,0.989,Logarithmic,15.304046630859375,77.4188003540039,6.579296496056486e-06,5.999822616577148,244.37838745117188,6.577520252903923e-06
,72.212,-35.667,3087.0,1987,13.81,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (2001a,b)",greenland,25317,72.2418,-35.6965,293,212,17.41,76.03,0.993,Power law,0.0,11.01,54.47,0.988,Logarithmic,15.928820610046387,76.19147491455078,6.336881597235333e-06,6.055164337158203,244.51437377929688,6.335208581731422e-06
,72.349,-40.214,3115.0,1987,14.71,,0.91,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,25764,72.3824,-40.144,296,185,16.72,77.48,0.994,Power law,0.0,10.23,52.49,0.989,Logarithmic,15.032405853271484,78.0785903930664,7.901899152784608e-06,6.251354217529297,245.1374053955078,7.899228876340203e-06
,72.886,-39.157,3167.0,1987,14.36,,0.89,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,27445,72.8929,-39.1998,306,191,16.74,74.52,0.993,Power law,0.0,10.58,53.69,0.989,Logarithmic,15.246968269348145,74.08283233642578,5.848458840773674e-06,6.319055080413818,244.53945922851562,5.846666226716479e-06
,77.981,-37.704,3188.0,1987,14.74,,0.93,,0,1,SUMUP 2024,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",greenland,44822,77.9499,-37.7382,407,200,15.08,66.42,0.99,Power law,0.0,10.25,54.38,0.99,Logarithmic,15.22854995727539,63.566036224365234,2.821948555720155e-06,6.670346736907959,243.98342895507812,2.820778945533675e-06
"Site A, (Crete)",70.635,-35.82,3092.0,1988,15.34,81.98,0.99,0.98,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20403,70.6424,-35.8409,261,212,16.3,76.19,0.993,Power law,0.0,10.01,51.31,0.988,Logarithmic,14.73188304901123,76.5292739868164,8.084838555078022e-06,6.203339576721191,246.0505828857422,8.082886779448017e-06
Site B,70.659,-35.479,3138.0,1988,16.1,81.31,0.97,0.97,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20577,70.6894,-35.5346,262,214,16.31,75.95,0.993,Power law,0.0,10.04,51.34,0.987,Logarithmic,14.850769996643066,76.38126373291016,7.928943887236528e-06,6.251743793487549,246.09820556640625,7.927295882836916e-06
Site C,70.677,-35.787,3072.0,1988,15.33,,0.99,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20575,70.6924,-35.8368,262,212,16.37,76.0,0.993,Power law,0.0,10.07,51.51,0.987,Logarithmic,14.925000190734863,76.57502746582031,7.823819942132104e-06,6.179321765899658,245.97116088867188,7.822100087651052e-06
Site D,70.64,-35.618,3018.0,1988,14.93,79.95,0.99,0.98,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,20576,70.691,-35.6857,262,213,16.36,75.96,0.993,Power law,0.0,10.07,51.48,0.987,Logarithmic,14.931151390075684,76.29415130615234,7.883993930590805e-06,6.2113800048828125,246.02157592773438,7.882049430918414e-06
Site E,71.759,-35.851,3087.0,1988,15.63,73.81,0.98,0.96,0,0,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,23953,71.7934,-35.8995,284,211,17.11,75.85,0.993,Power law,0.0,10.73,53.72,0.988,Logarithmic,15.455079078674316,75.87725067138672,6.609096089960076e-06,5.991122245788574,244.88246154785156,6.6073753259843215e-06
Site F,71.492,-35.881,3092.0,1988,16.4,,0.97,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,23016,71.4935,-35.9246,278,211,16.93,75.35,0.993,Power law,0.0,10.62,53.32,0.988,Logarithmic,15.306206703186035,75.1705322265625,6.600184860872105e-06,5.995543479919434,245.07679748535156,6.598767413379392e-06
Site G,71.155,-35.838,3098.0,1988,16.19,,0.97,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,21949,71.1422,-35.7983,271,212,16.73,75.26,0.993,Power law,0.0,10.46,52.68,0.987,Logarithmic,14.994389533996582,75.0628433227539,6.895702881593024e-06,6.05615758895874,245.408203125,6.893846602906706e-06
