 -65.7323, -67.1139,	3,    1,    0.1,  142,	 42
 -78.3143,  -72.743,	4,    2,   2.64,  122,	 62
-121.1375, -73.9182,	3,    2,   1.98,   78,	 82
-100.5863, -72.7057,	5,    2,    3.3,   96,	 66
 -68.9489, -71.4286,	6,    2,   3.96,  134,	 58  
  48.6577, -80.0558,  112,    1,    3.7,  151,	156
   18.271, -76.3554,   70,    1,   2.31,  174,	139
  94.1278, -75.1756,   57,    1,   1.88,  126,	190
  66.2185,  -82.793,  108,    1,   3.56,  136,	155
  12.5946, -84.4943,   72,    1,   2.38,  142,	132
  -9.7499, -71.3673,	2,    1,   0.13,  190,	105
-121.4284, -77.0921,   14,    1,   0.46,   86,	 92
-100.5446,   -75.62,	4,    1,   0.13,  100,	 77
 -99.2693, -75.4676,	5,    2,    3.3,  101,	 76
 -99.6265, -76.4916,	7,    1,   0.23,  102,	 80
 -94.6695,  -75.033,	8,    2,   5.28,  105,	 73
 -93.2959, -74.6062,	8,    1,   0.26,  106,	 71
 -94.4306, -75.8199,	7,    1,   0.23,  106,	 76
 -95.8981, -78.0555,	9,    1,    0.3,  107,	 85
 -89.1377, -74.0578,	7,    1,   0.23,  110,	 68
 -86.6256, -74.6523,	8,    1,   0.26,  113,	 70
 138.9418, -70.6833,   24,    1,   0.79,   72,	192	
 123.4783, -68.8893,   13,    1,   0.43,   87,	209	
 141.1639, -77.7932,  102,    1,   3.37,   88,	168	
  79.0074, -78.7719,   45,    1,   1.48,  136,	173	
   5.7544, -79.9722,   59,    1,   1.95,  160,	128	
  38.1511, -76.9315,   90,    1,   2.97,  166,	156	
  37.6304, -70.1589,    5,    1,   0.16,  190,	169	
 101.4443, -69.7441,   17,    1,   0.56,  118,	212	
 -91.8951, -79.0198,   13,    1,   0.43,  111,	 88	
 -66.6241, -73.5776,    5,    1,   0.16,  135,	 67	
-133.0992,  -79.663,   25,    2,   16.5,   87,	106	
 -13.5881, -74.6937,	9,    1,    0.3,  176,	106	
-71.6073,  -70.8093,	3,	2,	1.98,	131,	55
-9.7499,   -71.3673,	4,	1,	0.13,	190,	105
122.9598,  -75.1175,	87,	1,	2.87,	97,	186
44.6731,   -70.7279,	24,	1,	0.79,	183,	176
106.246,   -78.4332,	128,	1,	4.22,	115,	177
122.6053,  -73.5471,	55,	1,	1.81,	95,	192
-65.0904,    -66.03,	2,	2,	1.32,	144,	38
