,core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550,FDM_depth_to_830,Fit_R2,Fit_model,Fit_failed
147,T15_2006_Aug,70.303,-44.57,2491.0,2006,6.17,,SUMUP 2024,Morris and Wingham (2014),Greenland,19474,70.2581,-44.6186,256,153,13.32,75.25,0.996,Power law,0.0
148,T15_2006_May,70.303,-44.57,2491.0,2006,7.396,,SUMUP 2024,Morris and Wingham (2014),Greenland,19474,70.2581,-44.6186,256,153,13.32,75.25,0.996,Power law,0.0
149,T19_2006_Aug,70.47,-43.56,2659.0,2006,7.9,,SUMUP 2024,Morris and Wingham (2014),Greenland,20180,70.5003,-43.4995,260,161,14.46,77.56,0.997,Power law,0.0
150,T19_2006_May,70.47,-43.56,2659.0,2006,9.08,,SUMUP 2024,Morris and Wingham (2014),Greenland,20180,70.5003,-43.4995,260,161,14.46,77.56,0.997,Power law,0.0
151,T21_2006_Aug,70.544,-43.02,2737.0,2006,5.887,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.62,77.57,0.996,Power law,0.0
152,T21_2006_Aug_a,70.544,-43.02,2737.0,2006,7.548,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.62,77.57,0.996,Power law,0.0
153,T31_2006_May,70.909,-40.64,3008.0,2006,7.527,,SUMUP 2024,Morris and Wingham (2014),Greenland,21141,70.8721,-40.7053,266,180,15.65,78.16,0.996,Power law,0.0
154,T35_2006_Jul,70.976,-39.55,3096.0,2006,7.103,,SUMUP 2024,Morris and Wingham (2014),Greenland,21455,70.9892,-39.4955,268,188,16.2,78.14,0.996,Power law,0.0
155,T35_2006_May,70.976,-39.55,3096.0,2006,6.905,,SUMUP 2024,Morris and Wingham (2014),Greenland,21455,70.9892,-39.4955,268,188,16.2,78.14,0.996,Power law,0.0
156,T41_2006_Jul,71.079,-37.92,3201.0,2006,9.259,,SUMUP 2024,Morris and Wingham (2014),Greenland,21617,71.0494,-37.9618,269,198,16.49,77.05,0.996,Power law,0.0
157,T41_2006_Jul_a,71.079,-37.92,3201.0,2006,8.408,,SUMUP 2024,Morris and Wingham (2014),Greenland,21617,71.0494,-37.9618,269,198,16.49,77.05,0.996,Power law,0.0
158,T41_2006_May,71.079,-37.92,3201.0,2006,8.555,,SUMUP 2024,Morris and Wingham (2014),Greenland,21617,71.0494,-37.9618,269,198,16.49,77.05,0.996,Power law,0.0
159,T41_2006_May_c,71.079,-37.92,3201.0,2006,9.014,,SUMUP 2024,Morris and Wingham (2014),Greenland,21617,71.0494,-37.9618,269,198,16.49,77.05,0.996,Power law,0.0
160,,72.55,-38.309,3210.0,2006,8.504,,SUMUP 2024,Fain et al. (2009),Greenland,26280,72.5483,-38.3336,299,196,17.27,76.36,0.995,Power law,0.0
161,CP_2007,69.9,-47.0,2000.0,2007,12.709,80.138,SUMUP 2024,Porter and Mosley-Thompson (2014),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
162,NEEM07S3,77.45,-51.06,2460.0,2007,15.205,76.728,SUMUP 2024,Steen-Larsen et al. (2011),Greenland,43942,77.4159,-51.0931,403,142,16.43,72.86,0.994,Power law,0.0
163,T1-1,70.0,-48.060967,1710.0,2007,0.35,,"""PKM standardized cores""",,Greenland,19107,69.9836,-48.0657,254,129,2.96,57.59,0.912,Power law,0.0
164,T2-1,70.0,-47.880203,1750.0,2007,2.93,,"""PKM standardized cores""",,Greenland,19108,69.9923,-47.9218,254,130,3.46,59.84,0.947,Power law,0.0
165,T3-1,70.0,-47.670183,1819.0,2007,0.415,,"""PKM standardized cores""",,Greenland,19110,70.0092,-47.6338,254,132,5.54,63.76,0.969,Power law,0.0
167,,69.757,-47.88,1750.0,2007,8.1,,SUMUP 2024,Harper et al. (2012),Greenland,18399,69.7952,-47.8222,250,130,4.28,59.92,0.946,Logarithmic,0.0
168,,69.784,-47.67,1819.0,2007,8.762,5.574,SUMUP 2024,Harper et al. (2012),Greenland,18400,69.8037,-47.6795,250,131,4.57,60.78,0.947,Logarithmic,0.0
169,,69.801,-47.568,1845.0,2007,6.787,,SUMUP 2024,Harper et al. (2012),Greenland,18401,69.812,-47.5368,250,132,5.25,62.79,0.958,Logarithmic,0.0
170,,69.806,-47.542,1856.0,2007,2.009,,SUMUP 2024,Harper et al. (2012),Greenland,18401,69.812,-47.5368,250,132,5.25,62.79,0.958,Logarithmic,0.0
171,,69.793,-47.608,1835.0,2007,8.719,,SUMUP 2024,Harper et al. (2012),Greenland,18223,69.7544,-47.6552,249,131,4.34,60.02,0.946,Logarithmic,0.0
172,,69.82,-47.45,1877.0,2007,1.874,,SUMUP 2024,Harper et al. (2012),Greenland,18577,69.8696,-47.4177,251,133,6.27,65.22,0.974,Power law,0.0
173,,69.848,-47.274,1932.0,2007,4.009,,SUMUP 2024,Harper et al. (2012),Greenland,18403,69.8284,-47.251,250,134,6.69,65.91,0.977,Power law,0.0
174,,69.876,-47.01,1997.0,2007,6.64,,SUMUP 2024,Harper et al. (2012),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
175,,69.876,-47.01,1997.0,2007,9.473,,SUMUP 2024,Harper et al. (2012),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
176,,69.876,-47.01,1997.0,2007,8.993,,SUMUP 2024,Harper et al. (2012),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
177,,69.876,-47.01,1997.0,2007,5.607,,SUMUP 2024,Harper et al. (2012),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
178,,69.876,-47.01,1997.0,2007,9.339,,SUMUP 2024,Harper et al. (2012),Greenland,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0
179,,72.594,-38.625,3210.0,2007,16.585,,SUMUP 2024,Adolph et al. (2014),Greenland,26448,72.5966,-38.6702,300,194,17.05,76.33,0.995,Power law,0.0
194,2009S2_Keegan,77.45,-51.06,2460.0,2009,13.82,65.28,SUMUP 2024,Baker et al. (2009),Greenland,43942,77.4159,-51.0931,403,142,16.11,72.68,0.994,Power law,0.0
195,NEEM2009S2_Baker,77.45,-51.06,,2009,18.456,,SUMUP 2024,Baker et al. (2009),Greenland,43942,77.4159,-51.0931,403,142,16.11,72.68,0.994,Power law,0.0
196,,72.55,-38.1,3209.0,2009,0.785,,SUMUP 2024,Chellman et al. (2009),Greenland,26108,72.4989,-38.1651,298,197,17.23,76.62,0.995,Power law,0.0
198,ACT10A,65.697,-41.481,,2010,7.288,40.096,SUMUP 2024,Miège et al. (2013),Greenland,6218,65.6954,-41.4877,163,168,6.69,86.87,0.984,Logarithmic,0.0
199,ACT10B,65.775,-41.867,,2010,10.508,,SUMUP 2024,Miège et al. (2013),Greenland,6410,65.7847,-41.8667,165,165,8.96,88.54,0.991,Logarithmic,0.0
200,ACT10C,66.0,-42.783,,2010,9.098,,SUMUP 2024,Miège et al. (2013),Greenland,6905,66.006,-42.7654,170,158,11.0,82.02,0.994,Logarithmic,0.0
201,ACT10_A,66.0,-41.4667,1825.0,2010,5.07,,"""PKM standardized cores""",,Greenland,6916,66.0479,-41.4228,170,169,9.18,84.23,0.991,Logarithmic,0.0
202,T21_2010_Jul,70.544,-43.02,2737.0,2010,4.909,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.28,77.52,0.996,Power law,0.0
203,T21_2010_Jun,70.544,-43.02,2737.0,2010,3.579,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.28,77.52,0.996,Power law,0.0
204,T27_2010_Jun,70.775,-41.54,2913.0,2010,4.594,,SUMUP 2024,Morris and Wingham (2014),Greenland,20837,70.7541,-41.5978,264,174,14.91,78.16,0.997,Power law,0.0
205,T31_2010_Jun,70.909,-40.64,3008.0,2010,5.874,,SUMUP 2024,Morris and Wingham (2014),Greenland,21141,70.8721,-40.7053,266,180,15.38,78.13,0.997,Power law,0.0
208,ACT11B,66.217,-39.566,,2011,3.209,58.646,SUMUP 2024,Miège et al. (2013),Greenland,7143,66.1852,-39.5947,172,184,3.48,78.22,0.97,Logarithmic,0.0
209,ACT11C,66.291,-40.746,,2011,3.486,,SUMUP 2024,Miège et al. (2013),Greenland,7471,66.3152,-40.7219,175,175,8.36,82.78,0.993,Logarithmic,0.0
210,ACT11D,66.479,-46.31,,2011,6.19,54.187,SUMUP 2024,Miège et al. (2013),Greenland,8455,66.4949,-46.2676,183,131,5.09,64.49,0.959,Logarithmic,0.0
214,GrIT_20110430,77.265,-58.528,,2011,5.34,,SUMUP 2024,Hawley et al. (2014),Greenland,45355,77.2985,-58.5237,410,110,14.47,75.43,0.997,Power law,0.0
215,GrIT_20110508,76.5,-43.732,2803.0,2011,8.694,,SUMUP 2024,Hawley et al. (2014),Greenland,39922,76.5252,-43.7142,380,172,16.92,69.93,0.991,Power law,0.0
216,GrIT_20110512,74.422,-39.294,,2011,1.899,,SUMUP 2024,Hawley et al. (2014),Greenland,32229,74.3923,-39.3571,336,191,16.75,70.34,0.992,Power law,0.0
217,GrIT_20110528,77.371,-55.927,,2011,7.796,,SUMUP 2024,Hawley et al. (2014),Greenland,44743,77.3331,-55.9453,407,121,14.99,74.87,0.997,Power law,0.0
218,NEEM2011S1,77.45,-51.06,2460.0,2011,15.035,73.613,SUMUP 2024,Sigl et al. (2013),Greenland,43942,77.4159,-51.0931,403,142,16.17,72.8,0.995,Power law,0.0
220,T21_2011_Aug,70.544,-43.02,2737.0,2011,3.698,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.06,77.42,0.996,Power law,0.0
221,T21_2011_Jul,70.544,-43.02,2737.0,2011,3.291,,SUMUP 2024,Morris and Wingham (2014),Greenland,20183,70.5147,-43.0522,260,164,14.06,77.42,0.996,Power law,0.0
222,T23_2011_Jul,70.625,-42.58,2794.0,2011,2.517,,SUMUP 2024,Morris and Wingham (2014),Greenland,20358,70.5778,-42.617,261,167,14.16,77.42,0.996,Power law,0.0
223,T27_2011_Jul,70.775,-41.54,2913.0,2011,3.682,,SUMUP 2024,Morris and Wingham (2014),Greenland,20837,70.7541,-41.5978,264,174,14.74,78.08,0.996,Power law,0.0
224,T31_2011_Jul,70.909,-40.64,3008.0,2011,4.606,,SUMUP 2024,Morris and Wingham (2014),Greenland,21141,70.8721,-40.7053,266,180,15.25,78.08,0.996,Power law,0.0
225,EastGRIP,75.623,-35.96,2702.0,2012,18.366,65.329,SUMUP 2024,Vallelonga et al. (2014),Greenland,36444,75.5947,-35.8951,360,209,16.87,69.62,0.989,Power law,0.0
226,NG2012,75.017,-42.533,2917.0,2012,16.166,,SUMUP 2024,Freitag et al. (2021)               ,Greenland,34450,74.9958,-42.5203,349,175,16.52,72.69,0.994,Power law,0.0
227,,72.55,-38.1,3209.0,2012,0.52,,SUMUP 2024,Chellman et al. (2009),Greenland,26108,72.4989,-38.1651,298,197,17.04,76.58,0.995,Power law,0.0
233,,72.55,-38.1,3209.0,2013,0.502,,SUMUP 2024,Chellman et al. (2009),Greenland,26108,72.4989,-38.1651,298,197,16.93,76.54,0.996,Power law,0.0
237,,66.982,-46.119,2060.0,2013,7.212,6.512,SUMUP 2024,Machguth et al. (2016),Greenland,9757,67.0112,-46.0753,193,134,3.04,66.37,0.931,Logarithmic,0.0
238,,66.478,-46.285,2119.0,2013,6.345,11.951,SUMUP 2024,Machguth et al. (2016),Greenland,8455,66.4949,-46.2676,183,131,3.0,64.58,0.928,Logarithmic,0.0
239,,66.473,-46.283,2119.0,2013,3.895,4.675,SUMUP 2024,Machguth et al. (2016),Greenland,8455,66.4949,-46.2676,183,131,3.0,64.58,0.928,Logarithmic,0.0
240,,66.985,-45.755,2142.0,2013,8.478,5.262,SUMUP 2024,Machguth et al. (2016),Greenland,9632,66.9757,-45.8049,192,136,4.15,67.86,0.949,Logarithmic,0.0
241,,66.983,-45.045,2266.0,2013,7.445,5.186,SUMUP 2024,Machguth et al. (2016),Greenland,9512,66.9654,-45.0306,191,142,6.49,69.36,0.972,Logarithmic,0.0
242,,66.985,-44.394,2361.0,2013,6.145,2.815,SUMUP 2024,Machguth et al. (2016),Greenland,9517,66.9953,-44.3981,191,147,8.32,70.59,0.982,Logarithmic,0.0
243,,73.873,-41.8,,2013,1.662,,SUMUP 2024,Polashenski et al. (2015),Greenland,30576,73.857,-41.8174,326,177,16.53,74.76,0.995,Power law,0.0
244,,77.058,-49.6,,2013,0.623,,SUMUP 2024,Polashenski et al. (2015),Greenland,42455,77.0779,-49.6065,395,147,16.42,74.4,0.995,Power law,0.0
245,,77.042,-54.517,,2013,1.619,,SUMUP 2024,Polashenski et al. (2015),Greenland,43152,77.0085,-54.5629,399,125,14.38,76.33,0.996,Power law,0.0
246,,77.217,-61.022,,2013,1.663,,SUMUP 2024,Polashenski et al. (2015),Greenland,45756,77.1935,-60.9966,412,99,12.46,68.7,0.991,Power law,0.0
247,,78.0,-58.0,,2013,1.337,,SUMUP 2024,Polashenski et al. (2015),Greenland,47932,78.0279,-58.0252,423,117,13.53,65.44,0.986,Power law,0.0
251,,77.444,-51.069,2450.0,2015,1.762,,SUMUP 2024,Schaller et al. (2016),Greenland,43942,77.4159,-51.0931,403,142,15.71,72.66,0.995,Power law,0.0
252,,77.367,-50.11,2501.0,2015,1.746,,SUMUP 2024,Schaller et al. (2016),Greenland,43550,77.3613,-50.104,401,146,16.01,72.44,0.994,Power law,0.0
253,,77.254,-49.231,2552.0,2015,1.698,,SUMUP 2024,Schaller et al. (2016),Greenland,42814,77.1955,-49.2569,397,149,16.23,73.32,0.995,Power law,0.0
254,,77.12,-48.171,2596.0,2015,1.717,,SUMUP 2024,Schaller et al. (2016),Greenland,42640,77.1925,-48.1116,396,154,16.52,72.37,0.994,Power law,0.0
255,,76.982,-47.138,2652.0,2015,1.477,,SUMUP 2024,Schaller et al. (2016),Greenland,41950,77.0287,-47.0813,392,158,16.77,72.41,0.994,Power law,0.0
256,,76.325,-43.061,2782.0,2015,1.503,,SUMUP 2024,Schaller et al. (2016),Greenland,39238,76.3407,-42.9967,376,175,16.57,69.34,0.991,Power law,0.0
257,,76.178,-41.16,2766.0,2015,1.123,,SUMUP 2024,Schaller et al. (2016),Greenland,38364,76.122,-41.2449,371,183,16.65,69.23,0.991,Power law,0.0
258,,76.105,-40.299,2757.0,2015,1.199,,SUMUP 2024,Schaller et al. (2016),Greenland,38550,76.1853,-40.2158,372,188,16.93,68.92,0.989,Power law,0.0
259,,75.935,-38.469,2725.0,2015,1.47,,SUMUP 2024,Schaller et al. (2016),Greenland,37488,75.8979,-38.5237,366,196,16.54,68.74,0.99,Power law,0.0
260,,75.858,-37.697,2708.0,2015,1.419,,SUMUP 2024,Schaller et al. (2016),Greenland,37315,75.8499,-37.7041,365,200,16.36,68.05,0.989,Power law,0.0
261,,75.706,-36.544,2670.0,2015,1.605,,SUMUP 2024,Schaller et al. (2016),Greenland,36789,75.6979,-36.4901,362,206,16.35,68.88,0.99,Power law,0.0
262,,75.629,-35.986,2663.0,2015,1.174,,SUMUP 2024,Schaller et al. (2016),Greenland,36269,75.5447,-35.9005,359,209,16.73,70.06,0.991,Power law,0.0
264,,65.999,-44.502,2464.0,2015,10.212,4.681,SUMUP 2024,Machguth et al. (2016),Greenland,6995,65.9847,-44.4807,171,144,9.82,70.42,0.987,Power law,0.0
266,,66.994,-44.385,2355.0,2015,9.962,,SUMUP 2024,MacFerrin et al. (2022),Greenland,9517,66.9953,-44.3981,191,147,9.43,69.89,0.986,Power law,0.0
267,,66.478,-42.496,2376.0,2015,5.472,,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,10.87,78.32,0.993,Logarithmic,0.0
268,,66.478,-42.497,2378.0,2015,1.501,,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,10.87,78.32,0.993,Logarithmic,0.0
269,,66.478,-42.496,2368.0,2015,6.355,,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,10.87,78.32,0.993,Logarithmic,0.0
270,,66.478,-42.496,2384.0,2015,8.288,9.613,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,10.87,78.32,0.993,Logarithmic,0.0
271,,65.999,-44.502,2451.0,2015,5.899,11.345,SUMUP 2024,MacFerrin et al. (2022),Greenland,6995,65.9847,-44.4807,171,144,9.82,70.42,0.987,Power law,0.0
272,,65.999,-44.502,2453.0,2015,7.395,5.418,SUMUP 2024,MacFerrin et al. (2022),Greenland,6995,65.9847,-44.4807,171,144,9.82,70.42,0.987,Power law,0.0
273,,66.478,-46.286,2126.0,2015,8.655,14.129,SUMUP 2024,MacFerrin et al. (2022),Greenland,8455,66.4949,-46.2676,183,131,3.95,63.51,0.939,Logarithmic,0.0
274,,69.876,-47.029,1942.0,2015,3.605,4.678,SUMUP 2024,MacFerrin et al. (2022),Greenland,18580,69.8936,-46.9875,251,136,5.53,67.36,0.959,Logarithmic,0.0
275,,69.877,-47.029,1942.0,2015,5.755,3.805,SUMUP 2024,MacFerrin et al. (2022),Greenland,18580,69.8936,-46.9875,251,136,5.53,67.36,0.959,Logarithmic,0.0
276,,75.625,-35.979,2661.0,2015,10.555,,SUMUP 2024,MacFerrin et al. (2022),Greenland,36269,75.5447,-35.9005,359,209,16.73,70.06,0.991,Power law,0.0
277,,72.577,-38.47,3203.0,2015,12.455,,SUMUP 2024,MacFerrin et al. (2022),Greenland,26279,72.5475,-38.5003,299,195,16.77,76.54,0.996,Power law,0.0
278,,72.577,-38.469,3203.0,2015,12.355,,SUMUP 2024,MacFerrin et al. (2022),Greenland,26279,72.5475,-38.5003,299,195,16.77,76.54,0.996,Power law,0.0
279,,66.362,-39.312,1664.0,2015,5.054,22.019,SUMUP 2024,Miller et al. (2018),Greenland,7482,66.3384,-39.36,175,186,2.63,75.94,0.911,Logarithmic,0.0
282,,68.892,-43.502,,2015,12.248,68.837,SUMUP 2024,Trusel et al. (2018),Greenland,14632,68.8934,-43.4717,228,158,10.91,71.87,0.993,Power law,0.0
283,2016_DYE-2 Pit 02,66.482,-46.291,2165.0,2016,0.344,,SUMUP 2024,GEUS snow and firn data (2023),Greenland,8455,66.4949,-46.2676,183,131,3.87,63.29,0.939,Logarithmic,0.0
284,2016_DYE-2 Pit 03,66.482,-46.291,2165.0,2016,0.884,,SUMUP 2024,GEUS snow and firn data (2023),Greenland,8455,66.4949,-46.2676,183,131,3.87,63.29,0.939,Logarithmic,0.0
286,EastGRIP Main Core,75.63,-36.0,2704.0,2016,18.124,62.299,SUMUP 2024,Rasmussen et al. (2023),Greenland,36791,75.6959,-36.0862,362,208,16.49,69.97,0.991,Power law,0.0
289,,66.985,-44.395,2314.0,2016,13.455,,SUMUP 2024,MacFerrin et al. (2022),Greenland,9517,66.9953,-44.3981,191,147,9.48,69.83,0.986,Power law,0.0
290,,66.478,-42.496,2372.0,2016,12.705,,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,11.04,78.4,0.993,Logarithmic,0.0
291,,65.999,-44.502,2453.0,2016,15.955,,SUMUP 2024,MacFerrin et al. (2022),Greenland,6995,65.9847,-44.4807,171,144,9.95,70.42,0.987,Power law,0.0
292,,72.578,-38.469,3209.0,2016,15.755,,SUMUP 2024,MacFerrin et al. (2022),Greenland,26279,72.5475,-38.5003,299,195,16.74,76.54,0.996,Power law,0.0
293,,75.626,-35.978,2664.0,2016,14.96,,SUMUP 2024,MacFerrin et al. (2022),Greenland,36269,75.5447,-35.9005,359,209,16.77,70.12,0.991,Power law,0.0
294,,69.876,-47.031,1936.0,2016,9.707,6.719,SUMUP 2024,MacFerrin et al. (2022),Greenland,18580,69.8936,-46.9875,251,136,5.28,67.22,0.961,Logarithmic,0.0
295,,66.473,-46.283,2126.0,2016,10.261,9.161,SUMUP 2024,MacFerrin et al. (2022),Greenland,8455,66.4949,-46.2676,183,131,3.87,63.29,0.939,Logarithmic,0.0
301,,75.63,-35.98,2663.0,2016,1.718,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
302,,75.63,-35.98,2663.0,2016,1.634,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
303,,75.63,-35.98,2663.0,2016,1.712,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
304,,75.63,-35.98,2663.0,2016,1.713,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
305,,75.63,-35.98,2663.0,2016,2.095,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
306,,75.63,-35.98,2663.0,2016,2.163,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
307,,75.63,-35.98,2663.0,2016,1.788,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
308,,75.63,-35.98,2663.0,2016,3.002,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
309,,75.63,-35.98,2663.0,2016,1.635,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
310,,75.63,-35.98,2663.0,2016,1.914,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
311,,75.63,-35.98,2663.0,2016,1.674,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
312,,75.63,-35.98,2663.0,2016,1.942,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
313,,75.63,-35.98,2663.0,2016,1.668,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
314,,75.63,-35.98,2663.0,2016,1.931,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
315,,75.63,-35.98,2663.0,2016,1.902,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
316,,75.63,-35.98,2663.0,2016,1.785,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
317,,75.63,-35.98,2663.0,2016,1.622,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
318,,75.63,-35.98,2663.0,2016,1.696,,SUMUP 2024,Schaller et al. (2017),Greenland,36444,75.5947,-35.8951,360,209,16.91,69.78,0.99,Power law,0.0
323,,69.851,-47.253,,2016,1.397,0.768,SUMUP 2024,Otosaka et al. (2020),Greenland,18403,69.8284,-47.251,250,134,3.57,65.54,0.942,Logarithmic,0.0
324,,66.984,-45.753,,2016,7.739,18.733,SUMUP 2024,Graeter et al. (2018),Greenland,9632,66.9757,-45.8049,192,136,5.15,66.89,0.957,Logarithmic,0.0
325,,67.499,-44.999,,2016,6.301,7.59,SUMUP 2024,Graeter et al. (2018),Greenland,10926,67.5235,-44.9517,202,144,6.92,67.36,0.973,Logarithmic,0.0
326,,67.831,-45.094,,2016,6.22,5.048,SUMUP 2024,Graeter et al. (2018),Greenland,11837,67.8708,-45.0667,209,144,6.39,67.01,0.968,Logarithmic,0.0
327,,68.419,-44.911,,2016,8.812,9.118,SUMUP 2024,Graeter et al. (2018),Greenland,13203,68.3794,-44.9682,219,146,6.44,66.77,0.968,Logarithmic,0.0
328,,68.999,-45.0,,2016,7.736,7.507,SUMUP 2024,Graeter et al. (2018),Greenland,15126,68.9809,-45.0372,231,147,7.86,70.06,0.978,Logarithmic,0.0
329,,69.572,-45.346,,2016,10.332,6.989,SUMUP 2024,Graeter et al. (2018),Greenland,17186,69.5696,-45.3939,243,146,8.32,70.88,0.983,Logarithmic,0.0
330,,70.302,-44.564,,2016,9.913,,SUMUP 2024,Graeter et al. (2018),Greenland,19474,70.2581,-44.6186,256,153,12.23,75.02,0.996,Power law,0.0
331,Camp Century (Core B62),77.171,-61.078,1887.0,2017,11.262,48.667,SUMUP 2024,"Colgan et al. (2018), Colgan (2021)",Greenland,45551,77.1283,-61.1173,411,98,12.18,69.82,0.994,Power law,0.0
334,,66.985,-44.394,2361.0,2017,6.428,7.665,SUMUP 2024,MacFerrin et al. (2022),Greenland,9517,66.9953,-44.3981,191,147,9.86,69.98,0.988,Power law,0.0
335,,66.478,-42.496,2372.0,2017,11.448,,SUMUP 2024,MacFerrin et al. (2022),Greenland,7947,66.4671,-42.4917,179,161,11.19,78.51,0.994,Logarithmic,0.0
336,,65.999,-44.502,2453.0,2017,5.506,,SUMUP 2024,MacFerrin et al. (2022),Greenland,6995,65.9847,-44.4807,171,144,10.25,70.56,0.989,Power law,0.0
337,,66.473,-46.283,2126.0,2017,7.24,11.86,SUMUP 2024,MacFerrin et al. (2022),Greenland,8455,66.4949,-46.2676,183,131,4.24,62.9,0.947,Logarithmic,0.0
338,,66.473,-46.283,2126.0,2017,1.623,4.006,SUMUP 2024,MacFerrin et al. (2022),Greenland,8455,66.4949,-46.2676,183,131,4.24,62.9,0.947,Logarithmic,0.0
339,,69.876,-47.031,1936.0,2017,7.82,5.974,SUMUP 2024,MacFerrin et al. (2022),Greenland,18580,69.8936,-46.9875,251,136,5.74,66.94,0.967,Logarithmic,0.0
340,,75.626,-35.978,2664.0,2017,14.62,,SUMUP 2024,MacFerrin et al. (2022),Greenland,36269,75.5447,-35.9005,359,209,16.82,70.19,0.991,Power law,0.0
341,,72.578,-38.469,3209.0,2017,11.495,,SUMUP 2024,MacFerrin et al. (2022),Greenland,26279,72.5475,-38.5003,299,195,16.77,76.59,0.996,Power law,0.0
342,,69.852,-47.255,,2017,2.011,1.501,SUMUP 2024,Otosaka et al. (2020b),Greenland,18403,69.8284,-47.251,250,134,4.0,65.09,0.949,Logarithmic,0.0
343,,70.02,-46.306,,2017,1.813,1.761,SUMUP 2024,Otosaka et al. (2020b),Greenland,18943,70.0303,-46.3107,253,141,8.59,70.56,0.986,Logarithmic,0.0
344,,70.176,-45.345,,2017,4.969,2.315,SUMUP 2024,Otosaka et al. (2020b),Greenland,19297,70.1775,-45.333,255,148,11.33,74.52,0.995,Power law,0.0
345,,71.079,-37.92,,2017,2.336,,SUMUP 2024,Otosaka et al. (2020b),Greenland,21617,71.0494,-37.9618,269,198,15.87,77.06,0.996,Power law,0.0
346,,70.559,-46.731,,2017,4.405,5.36,SUMUP 2024,Lewis et al. (2019),Greenland,20803,70.5667,-46.7003,264,140,9.59,70.73,0.99,Power law,0.0
347,,71.043,-47.224,,2017,16.536,,SUMUP 2024,Lewis et al. (2019),Greenland,22328,71.0449,-47.2387,274,138,10.59,73.65,0.993,Power law,0.0
348,,71.926,-47.486,,2017,10.498,,SUMUP 2024,Lewis et al. (2019),Greenland,24928,71.8917,-47.5199,291,139,12.18,74.95,0.996,Power law,0.0
