0.460	340.61
1.465	447.76
2.540	424.22
3.555	492.69
4.555	481.72
5.595	469.74
6.625	537.61
7.585	572.84
8.525	519.28
9.515	501.13
10.520	571.05
11.535	579.08
12.545	610.02
13.545	578.50
14.525	611.09
15.500	630.98
16.485	619.47
17.495	662.47
18.540	672.79
19.560	661.93
21.260	675.21
22.305	662.34
23.360	675.19
24.390	694.76
25.425	744.48
26.465	650.65
27.475	679.21
28.435	750.91
29.465	721.18
30.540	732.94
31.560	688.87
32.595	690.10
33.630	708.26
34.680	739.01
35.710	747.09
36.720	723.54
37.740	747.56
38.755	754.75
39.770	753.22
40.765	734.35
41.780	744.87
42.790	768.48
43.720	758.67
44.660	786.67
45.680	759.74
46.745	765.37
48.835	766.57
50.825	760.73
51.855	773.30
52.890	806.76
53.930	820.69
54.895	829.29
55.860	837.61
57.965	846.15
58.990	824.83
60.005	822.06
61.020	849.21
61.990	852.44
62.960	847.93
63.975	821.42
64.960	856.96
65.955	859.20
66.940	862.69
67.905	861.17
68.885	813.49
69.900	843.12
70.940	864.27
71.970	832.81
73.015	845.67
74.025	844.09
75.970	864.19
76.965	840.17
77.915	865.02
78.905	840.14
79.940	883.32
80.970	853.87
82.020	860.76
83.060	867.11
84.100	896.45
85.140	874.45
86.160	878.19
87.195	878.06
88.260	884.87
89.310	893.06
91.345	883.04
93.365	887.57
94.365	894.23
95.390	851.31
96.420	908.90
97.395	909.81
98.390	909.53
99.400	916.87
100.415	900.20
101.390	862.69
103.285	858.23
104.310	896.45
107.305	898.82
115.240	903.32
118.190	908.29
119.635	912.94
