core_name,profile_key,date,region,latitude,longitude,elevation,citation,n_measurements,max_depth,max_density,depth_to_550,depth_to_830,year,source,source_doi
PARCA_7653B_1997,90,1997-05-01,Greenland,76.000,-53.000,2200.000,Mosley-Thompson et al. (2001),27,13.475,599.700,12.715,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_NASAEASTA_1997,89,1997-05-01,Greenland,75.000,-30.000,2631.000,Mosley-Thompson et al. (2001),30,19.935,593.100,11.906,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_NDYE3A&B_1997,67,1997-05-01,Greenland,66.000,-44.501,2640.000,Mosley-Thompson et al. (2001),42,18.635,610.600,5.756,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_SDOMEA_1997,65,1997-05-01,Greenland,63.149,-44.817,2850.000,Mosley-Thompson et al. (2001),66,24.150,624.500,9.248,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_STUNUA_1997,76,1997-05-01,Greenland,69.500,-34.500,2650.000,Mosley-Thompson et al. (2001),62,20.310,605.000,12.683,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PROMICE_0-6_new,2177,2018-05-23,Greenland,76.368,-68.011,810.000,GEUS snow and firn data (2023),90,8.835,844.106,3.948,7.868,2018,SUMUP 2024,doi:10.18739/A2M61BR5M
SDM_SDM (Core 1),2186,2021-06-21,Greenland,63.149,-44.817,2896.000,GEUS snow and firn data (2023),5,1.770,654.000,0.974,,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
SE-Dome II (X-ray),2609,2021-06-01,Greenland,67.190,-36.470,3160.000,Kawakami et al. (2023),229914,252.056,959.110,11.120,87.454,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
SE-Dome II (bulk),2608,2021-06-01,Greenland,67.190,-36.470,3160.000,Kawakami et al. (2023),552,250.740,965.600,10.217,160.208,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 13,2022,1987-01-01,Greenland,72.886,-38.843,3209.000,van der Veen et al. (2001),303,16.190,602.200,13.800,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 15,2023,1987-01-01,Greenland,72.981,-36.296,3229.000,van der Veen et al. (2001),313,16.615,595.680,14.158,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 2,2570,1965-01-01,Greenland,76.983,-56.067,2000.000,Langway (1967) as in Spencer et al. (2001),150,276.500,916.800,11.818,73.299,1965,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 31,2024,1987-01-01,Greenland,72.349,-39.786,3151.000,van der Veen et al. (2001),309,16.425,591.200,14.779,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 37,2025,1987-01-01,Greenland,72.641,-34.055,3217.000,van der Veen et al. (2001),265,14.175,550.800,12.987,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 51,2027,1987-01-01,Greenland,71.927,-38.165,3150.000,van der Veen et al. (2001),311,16.480,626.270,13.853,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 57,2028,1987-01-01,Greenland,71.921,-34.040,3149.000,van der Veen et al. (2001),202,10.985,743.580,7.579,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 571,2029,1987-01-01,Greenland,72.212,-34.332,3149.000,van der Veen et al. (2001),278,14.800,563.650,12.878,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site 73,2030,1987-01-01,Greenland,71.602,-37.864,3218.000,van der Veen et al. (2001),320,16.905,583.860,14.875,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Site A,2561,1987-01-01,Greenland,70.750,-35.958,3145.000, Alley (1987) as in Spencer et al. (2001),109,108.500,881.000,14.500,81.167,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
"Site A, (Crete)",2562,1988-01-01,Greenland,70.635,-35.820,3092.000,Clausen et al. (1988) as in Spencer et al. (2001),228,128.385,906.000,14.758,75.955,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site B,2563,1988-01-01,Greenland,70.659,-35.479,3138.000,Clausen et al. (1988) as in Spencer et al. (2001),164,105.160,894.000,16.965,77.726,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site C,2564,1988-01-01,Greenland,70.677,-35.787,3072.000,Clausen et al. (1988) as in Spencer et al. (2001),44,24.475,614.000,15.675,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site D,2565,1988-01-01,Greenland,70.640,-35.618,3018.000,Clausen et al. (1988) as in Spencer et al. (2001),164,99.590,869.000,14.025,75.618,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site E,2566,1988-01-01,Greenland,71.759,-35.851,3087.000,Clausen et al. (1988) as in Spencer et al. (2001),134,77.225,856.000,16.225,68.697,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site F,2567,1988-01-01,Greenland,71.492,-35.881,3092.000,Clausen et al. (1988) as in Spencer et al. (2001),46,25.500,626.000,16.225,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site G,2568,1988-01-01,Greenland,71.155,-35.838,3098.000,Clausen et al. (1988) as in Spencer et al. (2001),123,70.290,805.000,15.125,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site H,2569,1988-01-01,Greenland,70.865,-35.838,3102.000,Clausen et al. (1988) as in Spencer et al. (2001),47,26.020,632.000,15.125,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site J,2331,1989-06-01,Greenland,66.870,-46.260,2030.000,Kameda et al. (1995),634,206.505,956.694,8.062,52.603,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
Summit,2026,1987-01-01,Greenland,72.294,-36.078,3263.000,van der Veen et al. (2001),342,16.280,559.980,15.449,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Summit_EUROCORE,2618,1989-06-01,Greenland,72.580,-37.640,,"Fourteau (2019a,b,c)",202,89.870,873.330,17.663,73.887,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
SwissCamp_Swiss Camp PIT 01,2178,2018-05-05,Greenland,69.555,-49.365,1170.000,GEUS snow and firn data (2023),21,1.676,789.200,0.645,,2018,SUMUP 2024,doi:10.18739/A2M61BR5M
SwissCamp_Swiss Camp PIT 03,2179,2011-05-11,Greenland,69.555,-49.365,1170.000,GEUS snow and firn data (2023),18,1.508,772.000,0.450,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T05_2006_Aug,2275,2006-08-13,Greenland,69.851,-47.250,1940.000,Morris and Wingham (2014),888,8.880,859.198,7.886,8.705,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T09_2006_Aug,2276,2006-08-12,Greenland,70.020,-46.310,2144.000,Morris and Wingham (2014),801,8.010,626.229,6.526,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T12_2004_Apr,2282,2004-04-23,Greenland,70.176,-45.340,2348.000,Morris and Wingham (2014),1308,13.080,615.240,12.066,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T12_2006_May,2259,2006-05-07,Greenland,70.176,-45.340,2348.000,Morris and Wingham (2014),712,7.120,627.546,5.845,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T15 1959,2002,1959-06-02,Greenland,70.303,-44.570,2491.000,Renaud et al. (1959),22,19.800,612.000,10.410,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T15_2004_Apr,2283,2004-04-25,Greenland,70.303,-44.570,2491.000,Morris and Wingham (2014),1236,12.355,609.464,8.773,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T15_2006_Aug,2266,2006-08-09,Greenland,70.303,-44.570,2491.000,Morris and Wingham (2014),980,9.790,696.960,6.170,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T15_2006_May,2260,2006-05-12,Greenland,70.303,-44.570,2491.000,Morris and Wingham (2014),999,9.980,711.140,7.396,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2004_Apr,2284,2004-04-30,Greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),1306,13.050,587.724,10.572,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2006_Aug,2267,2006-08-08,Greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),1015,10.300,596.750,7.900,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2006_May,2261,2006-05-15,Greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),1043,10.420,592.835,9.080,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2004_May,2285,2004-05-04,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),1415,14.150,590.706,11.224,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2004_May_a,2292,2004-05-12,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),1253,12.530,592.032,11.252,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2004_Sep,2255,2004-09-12,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),8258,10.170,586.608,8.942,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2006_Aug,2268,2006-08-07,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),686,6.860,555.463,5.887,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2006_Aug_a,2277,2006-08-06,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),782,7.820,562.059,7.548,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2010_Jul,2304,2010-07-01,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),536,5.360,577.841,4.909,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2010_Jun,2305,2010-06-30,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),521,5.210,574.301,3.579,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2011_Aug,2293,2011-08-01,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),475,4.740,586.393,3.698,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2011_Jul,2294,2011-07-31,Greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),331,3.310,555.262,3.291,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T23_2004_May,2286,2004-05-14,Greenland,70.625,-42.580,2794.000,Morris and Wingham (2014),1306,13.060,595.813,11.252,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T23_2011_Jul,2295,2011-07-30,Greenland,70.625,-42.580,2794.000,Morris and Wingham (2014),298,2.980,551.058,2.517,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T27_2004_May,2287,2004-05-16,Greenland,70.775,-41.540,2913.000,Morris and Wingham (2014),1246,12.460,591.442,11.128,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T27_2010_Jun,2307,2010-06-25,Greenland,70.775,-41.540,2913.000,Morris and Wingham (2014),461,4.610,557.541,4.594,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
T27_2011_Jul,2296,2011-07-28,Greenland,70.775,-41.540,2913.000,Morris and Wingham (2014),372,3.720,554.875,3.682,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_1959,926,1959-06-12,Greenland,70.909,-40.640,3008.000,Renaud et al. (1959),37,30.375,658.000,11.654,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_2004_May,2288,2004-05-18,Greenland,70.909,-40.640,3008.000,Morris and Wingham (2014),1270,12.700,567.769,12.415,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_2006_May,2262,2006-05-20,Greenland,70.909,-40.640,3008.000,Morris and Wingham (2014),774,7.784,567.523,7.527,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_2010_Jun,2308,2010-06-23,Greenland,70.909,-40.640,3008.000,Morris and Wingham (2014),592,5.920,550.079,5.874,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_2011_Jul,2297,2011-07-27,Greenland,70.909,-40.640,3008.000,Morris and Wingham (2014),532,5.310,575.831,4.606,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
T35_2004_May,2289,2004-05-20,Greenland,70.976,-39.550,3096.000,Morris and Wingham (2014),1228,12.280,558.267,11.660,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T35_2006_Jul,2272,2006-07-26,Greenland,70.976,-39.550,3096.000,Morris and Wingham (2014),828,8.340,551.036,7.103,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T35_2006_May,2263,2006-05-22,Greenland,70.976,-39.550,3096.000,Morris and Wingham (2014),828,8.275,550.068,6.905,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_Aug,2252,2004-08-25,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1084,11.160,553.831,11.125,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_Aug_b,2254,2004-08-21,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1122,11.220,550.822,11.198,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_Aug_c,2258,2004-08-27,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1248,12.500,563.458,12.256,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_May,2244,2004-05-26,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1183,11.830,574.963,11.575,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_May_a,2245,2004-05-28,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1149,11.490,552.883,11.326,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_May_c,2291,2004-05-24,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),1284,12.840,563.439,11.684,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2006_Jul,2274,2006-07-23,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),950,9.490,550.749,9.259,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2006_Jul_a,2278,2006-07-21,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),849,8.490,559.342,8.408,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2006_May,2248,2006-05-26,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),861,8.609,550.629,8.555,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2006_May_c,2264,2006-05-24,Greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),957,9.570,552.310,9.014,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T43_1959,927,1959-06-22,Greenland,71.117,-37.317,3174.000,Renaud et al. (1959),18,15.205,572.000,12.924,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T53_1959,928,1959-06-26,Greenland,71.350,-33.483,2867.000,Renaud et al. (1959),34,26.625,647.000,15.107,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T61_1959,929,1959-07-28,Greenland,72.233,-32.333,2750.000,Renaud et al. (1959),18,13.400,552.000,12.867,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-1,2225,1996-05-01,Greenland,78.017,-33.994,2113.000,Mosley-Thompson et al. (2001),19,18.505,606.242,13.742,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-N25,2226,1996-05-01,Greenland,78.330,-33.888,2050.000,Mosley-Thompson et al. (2001),15,14.500,553.432,13.853,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-N_main,2224,1996-05-01,Greenland,78.017,-33.994,2113.000,Mosley-Thompson et al. (2001),69,68.535,871.859,13.646,58.862,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
U3 (2003),2016,1981-01-01,Greenland,64.933,-44.403,2574.000,van der Veen et al. (2001),128,15.045,820.000,5.558,,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
U4 (2004),2017,1981-01-01,Greenland,64.982,-45.973,2489.000,van der Veen et al. (2001),140,15.985,883.000,9.424,11.550,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
U6 (2006),2018,1981-01-01,Greenland,65.293,-44.166,2472.000,van der Veen et al. (2001),106,14.970,961.000,9.732,12.080,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
U7 (2007),2019,1981-01-01,Greenland,65.247,-44.591,2535.000,van der Veen et al. (2001),126,15.010,947.000,10.212,13.930,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
Wegener_RA145_1930-07-21,2395,1930-07-21,Greenland,71.192,-46.989,2155.000,Jülg (1939) as in Abermann et al. (2023),3,1.110,590.000,0.940,,1930,SUMUP 2024,doi:10.18739/A2M61BR5M
Wegener_RA170_1930-07-22,2400,1930-07-22,Greenland,71.191,-46.281,2255.000,Jülg (1939) as in Abermann et al. (2023),4,1.285,560.000,0.704,,1930,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt03C93.2_B16,612,1993-01-01,Greenland,73.940,-37.630,3040.000,"Wilhelms et al. (2000a,b,c,d)",31728,102.355,918.300,13.012,59.827,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt06C93.2_B17,613,1993-01-01,Greenland,75.250,-37.625,2820.000,"Wilhelms et al. (2000a,b,c,d)",94093,100.806,960.200,14.210,59.285,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt14C93.2_B18,614,1993-01-01,Greenland,76.617,-36.403,2508.000,"Wilhelms et al. (2000a,b,c,d)",78419,143.161,921.700,13.934,57.952,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt19C.0_B19,2012,1994-01-01,Greenland,78.000,-36.230,2234.000,NGT: Wilhelms (1996),995,99.931,924.201,17.107,63.926,1994,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt27C94.2_B21,615,1994-01-01,Greenland,80.000,-41.137,2185.000,"Wilhelms et al. (2000a,b,c,d)",73869,95.999,902.600,15.316,58.327,1994,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt37C95.2_B26,616,1995-01-01,Greenland,77.253,-49.217,2598.000,"Miller and Schwager (2000a,b)",105990,119.641,903.300,13.630,64.752,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt42C95.2_B29,617,1995-01-01,Greenland,76.004,-43.492,2874.000,"Miller and Schwager (2000a,b)",102555,109.834,898.600,16.393,64.067,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
,34,2023-06-04,Greenland,69.939,-46.565,,Harper and Humphrey (2023),158,25.345,836.450,12.585,14.542,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
,141,1953-07-10,Greenland,76.411,-67.815,850.000,"Benson (1962, 2010, 2013)",18,1.370,565.000,0.591,,1953,SUMUP 2024,doi:10.18739/A2M61BR5M
,145,1953-07-16,Greenland,76.544,-66.204,908.000,"Benson (1962, 2010, 2013)",24,4.868,906.000,2.972,2.900,1953,SUMUP 2024,doi:10.18739/A2M61BR5M
,171,1953-08-18,Greenland,77.300,-49.940,2441.000,"Benson (1962, 2010, 2013)",37,10.724,574.000,10.424,,1953,SUMUP 2024,doi:10.18739/A2M61BR5M
,174,1954-05-28,Greenland,76.367,-67.992,745.000,"Benson (1962, 2010, 2013)",18,3.868,848.000,3.372,2.578,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,178,1954-05-28,Greenland,76.402,-67.308,799.000,"Benson (1962, 2010, 2013)",7,3.320,674.000,3.256,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,183,1954-05-31,Greenland,76.518,-66.387,874.000,"Benson (1962, 2010, 2013)",12,5.162,592.000,2.839,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,190,1954-06-14,Greenland,76.722,-65.390,1310.000,"Benson (1962, 2010, 2013)",53,14.365,694.000,11.866,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,206,1954-06-24,Greenland,77.238,-62.328,1704.000,"Benson (1962, 2010, 2013)",70,16.706,856.000,10.396,16.225,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,210,1954-06-26,Greenland,77.217,-61.022,1864.000,"Benson (1962, 2010, 2013)",33,8.850,557.000,8.648,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,213,1954-07-04,Greenland,77.183,-60.393,1887.000,"Benson (1962, 2010, 2013)",58,15.092,603.000,10.308,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,219,1954-07-12,Greenland,77.128,-58.445,1905.000,"Benson (1962, 2010, 2013)",42,10.259,559.000,8.736,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,221,1954-07-16,Greenland,77.093,-57.818,1919.000,"Benson (1962, 2010, 2013)",67,14.136,705.000,11.401,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
,239,1955-05-20,Greenland,77.150,-62.900,1630.000,"Benson (1962, 2010, 2013)",23,1.710,670.000,0.708,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,290,1955-07-10,Greenland,72.467,-40.333,3104.000,"Benson (1962, 2010, 2013)",64,4.095,575.000,3.637,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,309,1955-08-08,Greenland,70.462,-43.583,2646.000,"Benson (1962, 2010, 2013)",35,6.577,596.000,5.165,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,317,1955-08-14,Greenland,70.105,-45.733,2283.000,"Benson (1962, 2010, 2013)",42,7.034,562.000,5.847,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,319,1955-08-16,Greenland,70.040,-46.133,2206.000,"Benson (1962, 2010, 2013)",37,6.576,570.000,6.501,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,320,1955-08-16,Greenland,69.977,-46.500,2146.000,"Benson (1962, 2010, 2013)",41,6.824,569.000,4.429,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,323,1955-08-16,Greenland,69.917,-46.933,2012.000,"Benson (1962, 2010, 2013)",38,7.150,648.000,6.876,,1955,SUMUP 2024,doi:10.18739/A2M61BR5M
,352,2005-09-08,Greenland,72.550,-38.100,3209.000,Chellman et al. (2009),33,0.975,698.990,0.640,,2005,SUMUP 2024,doi:10.18739/A2M61BR5M
,398,2009-08-08,Greenland,72.550,-38.100,3209.000,Chellman et al. (2009),33,0.975,651.515,0.785,,2009,SUMUP 2024,doi:10.18739/A2M61BR5M
,427,2012-03-22,Greenland,72.550,-38.100,3209.000,Chellman et al. (2009),33,0.975,593.939,0.520,,2012,SUMUP 2024,doi:10.18739/A2M61BR5M
,441,2013-05-16,Greenland,72.550,-38.100,3209.000,Chellman et al. (2009),33,0.975,640.404,0.502,,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
,545,1989-01-01,Greenland,72.580,-38.459,3216.000,Mayewski and Whitlow (2016),14,2.100,703.000,0.841,,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
,546,1989-01-01,Greenland,72.580,-38.459,3216.000,Mayewski and Whitlow (2016),12,1.920,740.000,0.109,,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
,547,1989-01-01,Greenland,72.580,-38.459,3216.000,Mayewski and Whitlow (2016),11,1.920,703.000,0.208,,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
,548,1989-01-01,Greenland,72.580,-38.459,3216.000,Mayewski and Whitlow (2016),12,1.965,627.000,1.312,,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
,549,1990-01-01,Greenland,72.580,-38.459,3216.000,Mayewski and Whitlow (2016),121,6.025,740.000,3.450,,1990,SUMUP 2024,doi:10.18739/A2M61BR5M
,562,1984-06-01,Greenland,65.100,-44.870,2625.000,Mayewski et al. (2016d),270,103.900,970.000,6.383,56.705,1984,SUMUP 2024,doi:10.18739/A2M61BR5M
,594,2015-05-16,Greenland,77.444,-51.069,2450.000,Schaller et al. (2016),15513,1.994,643.300,1.762,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,595,2015-05-18,Greenland,77.367,-50.110,2501.000,Schaller et al. (2016),15490,1.997,597.800,1.746,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,596,2015-05-20,Greenland,77.254,-49.231,2552.000,Schaller et al. (2016),15506,1.980,700.400,1.698,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,597,2015-05-20,Greenland,77.120,-48.171,2596.000,Schaller et al. (2016),13225,1.730,745.600,1.717,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,598,2015-05-20,Greenland,76.982,-47.138,2652.000,Schaller et al. (2016),12466,1.641,572.500,1.477,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,603,2015-05-22,Greenland,76.325,-43.061,2782.000,Schaller et al. (2016),15280,1.996,645.300,1.503,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,605,2015-05-24,Greenland,76.178,-41.160,2766.000,Schaller et al. (2016),15413,2.000,636.600,1.123,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,606,2015-05-24,Greenland,76.105,-40.299,2757.000,Schaller et al. (2016),15522,2.020,672.800,1.199,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,608,2015-05-24,Greenland,75.935,-38.469,2725.000,Schaller et al. (2016),15573,2.000,607.600,1.470,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,609,2015-05-24,Greenland,75.858,-37.697,2708.000,Schaller et al. (2016),15514,2.000,707.800,1.419,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,610,2015-05-26,Greenland,75.706,-36.544,2670.000,Schaller et al. (2016),15607,2.000,685.500,1.605,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,611,2015-05-26,Greenland,75.629,-35.986,2663.000,Schaller et al. (2016),15127,1.966,685.600,1.174,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
,618,1987-01-01,Greenland,77.981,-37.704,3188.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",312,16.615,589.350,14.158,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,619,1987-01-01,Greenland,72.212,-35.667,3087.000,"Bolzan and Strobel (2001a,b)",277,14.800,563.650,12.878,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,620,1987-01-01,Greenland,72.294,-37.921,3215.000,"Bolzan and Strobel (2001a,b)",306,8.531,559.980,8.028,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,621,1987-01-01,Greenland,71.602,-38.141,3168.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",319,16.907,583.860,14.875,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,622,1987-01-01,Greenland,71.921,-35.959,3090.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",201,10.985,743.580,7.579,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,623,1987-01-01,Greenland,72.641,-35.944,3160.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",264,14.175,550.800,12.987,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,624,1987-01-01,Greenland,72.349,-40.214,3115.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",308,16.425,591.200,14.779,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,625,1987-01-01,Greenland,72.886,-39.157,3167.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",302,16.190,602.200,13.800,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,626,1987-01-01,Greenland,71.927,-39.835,3112.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",310,16.480,571.000,13.853,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
,640,1990-06-20,Greenland,72.596,-38.422,3200.000,Dibb et al. (2017),121,5.975,740.000,3.419,,1990,SUMUP 2024,doi:10.18739/A2M61BR5M
